Sl. No.,contact_name,inserted_at,pothole_duration_months,pothole_landmark_image,pothole_image,pothole_latlong,pothole_roadname,Ward,Zone
,Uday Shankar R M Advocate,2021-01-13 12:42:03,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/a4dc81b5-0367-43ba-9d20-3b28958145bc,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/1650baaa-9c0f-415d-8642-501a18950cc4,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/726dff15-af74-4fcb-87a6-cbeddc33dd6f,"12.991941, 77.542923",8th b main Manjunatha nagar -ward 100,100,West
,Uday Shankar R M Advocate,2021-01-13 12:37:17,4,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ce67754d-b772-41c8-b4e1-6f5fc408e68d,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/34753141-cbbc-4d2c-87de-ee41b71d771b,"12.992004, 77.545624","8th b main, 2nd block 3rd stage west of chord road basweshwaranagar -ward 100",100,West
,Uday Shankar R M Advocate,2021-01-13 12:30:13,8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5938629c-416a-4edc-b47c-c05c1b353108,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/f0e35cc8-a6ff-4af7-b2ee-da007282da6a,"12.990825, 77.545898",1st main 3rd stage shivanagar -ward 107,100,West
,Uday Shankar R M Advocate,2021-01-13 12:17:32,3,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/98b9ddf6-7276-457c-859d-4feac15b957f,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/1a9638c4-731b-4978-9803-70a8121da0ca,"12.986748, 77.543358",3rd c cross basweshwaranagar,100,West
,Usha,2021-01-21 14:49:57,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/23b5fc12-6a09-4824-8548-c072ab6f1701,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/82f7d78d-91e7-42b3-b048-de100326e9a9,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/c97a790e-80ee-4271-95e4-2833d673ca12,"12.9172062,77.5407417","6th B cross, AGS Layout, Bangalore 61.",184,Bommanahalli
,Valsakumar,2021-01-17 20:23:28,12,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5af8470d-ba20-454b-84bf-5a22e681761d,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/0f9e9335-775b-4ed7-a7cd-668c8007150a,"12.9167938232421,77.5253295898437",Basaveshwara Layout Road,160,Rajarajeswari Nagar
,VIJAY,2021-01-21 10:15:18,5,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/dc74820b-56e2-4210-80ec-72fab5d65206,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/f7a03ff0-cf5b-42ff-beb1-36e2fd045dde,"12.9050762,77.6266716",https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/9e9b439e-cb8c-4ce0-aa59-0fdad838b2a8,175,Bommanahalli
,Vijay Ganesh V,2021-01-18 11:28:36,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/69c2aa48-9851-4155-b77e-3300fa56d5af,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/16c0d3fa-5671-475a-939a-548fa1181bac,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/acd566e3-b543-412f-9344-4f25df01cd2b,"13.0259335,77.6244821","6th cross road, 9th main road, 2nd block, 1st stage, HBR Layout",24,Yelahanka
,Vikyath,2021-01-28 22:25:31,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/91f24e2b-440c-4cee-98f2-9bc8ecbdb432,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/01f2c2a8-cfe3-4ba5-97db-3c4df31c13ed,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/507df459-8ab2-4eef-91e6-d8f947291a33,"12.898463, 77.677177",Owner's court east road,150,Mahadevapura
,Vinay_Yeligar,2021-01-20 11:29:04,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/7b8695bb-87d7-495a-a707-f437cf07c775,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/393cb563-e135-4842-852f-9225db979be8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/12a8e31d-281f-45f3-ac18-662ea6395e81,"12.933855,77.701273",ವಿದ್ಯಾ ವಿಕಾಸ್ ಸ್ಕೂಲ್ ರೋಡ್,149,Mahadevapura
,Vinayaka Hegde,2021-01-22 16:37:43,7,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/88f05cd0-b5f0-4d0e-bf68-b112a8cdb915,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/c6823fcc-a898-4b60-917e-6a5e3114fa8b,"12.8680379,77.6168414",Yelenahalli main road akshayanagara east bda layout,192,Bommanahalli
,Vishnu Prasad,2021-01-21 20:34:37,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/faea3e05-37b8-4461-a17c-d44e2675f66c,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/c4eb3a0c-17da-4e63-b700-cdefab8f5dcb,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/3db12d33-1c5c-4ace-9e2f-00933261ccbc,"12.904048706554,77.6758781599063","Ward : Bellandur, 150",150,Mahadevapura
,VJ,2021-01-18 13:35:24,60,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ab9e485f-f5be-4fc7-a6b7-33352723ac0a,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5ed90170-a254-4aeb-bc54-92e08a294386,"12.8877747797539,77.6720924912542",Central Jail road,191,Bommanahalli
,Yogesh,2021-01-28 20:44:29,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/cee7aca6-cd88-41b3-9188-2c06f271d253,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5126b9e7-2c15-4991-a8f8-380d7f52d502,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/4d6bca01-1dd8-42de-a4e9-ff2393a030c9,"12.897343, 77.678370",Owners court road,150,Mahadevapura
,Yogi,2021-01-20 11:21:27,36,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/2bf10127-3afc-4a71-982d-d54c948d508e,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/95056ca8-649a-41be-be3b-3774fd876505,"13.1033821,77.5969629","2nd Cross, Kere Kodi Road, Down Bazaar, Yelahanka",1,#N/A
,Yogitha Patil😊,2021-01-26 11:34:05,12,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/fd219927-efa8-4461-9fc5-88792a31e33d,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/7cd3c674-1caf-4514-a8dd-c1a82cadc741,"12.879315, 77.547226","3rd cross, KSIT GIRLS HOSTEL ROAD.",198,Rajarajeswari Nagar
,ஸ்ரீகுமார்/ಶ್ರೀಕುಮಾರ್,2021-01-18 20:25:50,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/bf0aa639-b862-420b-b1d3-e4c49c7827cc,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/cd8a27b4-b0f5-4131-b673-f6f6b4b66705,"12.937008,77.700459","1st cross road, Kaverappa layout",149,Mahadevapura
,ஸ்ரீகுமார்/ಶ್ರೀಕುಮಾರ್,2021-01-18 20:22:07,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/d5ff8639-f22d-42f9-a7a9-e20aa218ea3b,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/42c12552-7c05-44ce-9298-b0241b79f137,"12.935164,77.701005",2nd B cross road,149,Mahadevapura
,ஸ்ரீகுமார்/ಶ್ರೀಕುಮಾರ್,2021-01-18 20:15:42,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/be2f0283-c9a9-48be-90d5-cfec30efdd21,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/e182e88a-d2f8-427e-9978-326ec132d376,"12.9332874,77.7010675",Vidya vikas school road,149,Mahadevapura
,ஸ்ரீகுமார்/ಶ್ರೀಕುಮಾರ್,2021-01-18 20:09:17,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/b7fd3d5f-a986-433c-939c-cca4d84ca1d9,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ab34b0da-cd0c-4259-9ce1-39d9ae27ceb8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/91262ed6-acc0-459b-8ce6-4f31ba1579f4,"12.9332639,77.7011018",Vidya Vikas school Road,149,Mahadevapura
,ಯೋಕೇಶ್ ಗೌಡ,2021-01-20 21:19:58,60,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/67c8bf3e-38d0-45b8-90e4-4d26dc4102f3,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/724bb23f-26f3-471a-a45b-8c484b19778b,"13.0328674316406,77.4959030151367",Suvarnanagara Doddabidarakallu ward no 40,40,West
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3454.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E9,"12.9613944444444,77.6717",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3443.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E10,"12.9617222222222,77.67035",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3447.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E11,"12.9616083333333,77.670875",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3452.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E12,"12.9614888888889,77.6713722222222",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3446.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E13,"12.961625,77.6708138888889",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3444.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E14,"12.9617333333333,77.6704333333333",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3445.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E15,"12.9616416666667,77.6706777777778",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3422.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E16,"12.9583583333333,77.6680222222222",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3435.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E17,"12.9604055555556,77.6680611111111",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3434.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E18,"12.96035,77.6680611111111",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3424.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E19,"12.9585555555556,77.668",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3419.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E20,"12.9583583333333,77.6679611111111",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3426.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E21,"12.9593638888889,77.6680444444444",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3428.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E22,"12.9594444444444,77.6680527777778",,87,Mahadevapura
,Pavan Krishnaa Mulpur,03/02/2021,,IMG_3448.jpg,https://photos.app.goo.gl/pn1H3q8ZpmFo4y4E23,"12.9615833333333,77.6709666666667",,87,Mahadevapura
,,,,,,"12.9198075999999,77.5901380999999",,168,South
,,,,,,"12.9198075999999,77.5901380999999",,168,South
,,,,,,"12.9564671999999,77.594624","Vijaya Bank Colony main road, Banaswadi, Ward no. 27",117,East
,,,,,,"12.9545433,77.5905108","Near Anand Nagar, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",145,South
,,,,,,"12.9564671999999,77.594624","Agrahara Main Rd, Balaji Lake View Layout",117,East
,,,,,,"12.9564671999999,77.594624","1st cross, 3rd main 5th stage of Rajarajeshwarinagar",117,East
,,,,,,"12.9546105,77.5904504","""Abhee lake view. 35 koikondrahalli bangalore 560035.""",145,South
,,,,,,"12.9564671999999,77.594624","Ayyappa Temple, JUNNASANDRA ROAD",117,East
,,,,,,"12.9198075999999,77.5901380999999","Railway Parallel Road / Yadava College Road, Kumara Park East, Bangalore - 560001, Ward 93",168,South
,,,,,,"12.9564671999999,77.594624",amamurthy Nagar Main road ( starting from bridge towards Ramamurthy Nagar).,117,East
,,,,,,"12.9564671999999,77.594624","Silver pearl apartment, Choodasandra circle, central jail road, Nandini junction",117,East
,,,,,,"12.9198075999999,77.5901380999999",Sarjapur Road 200m on either side of Columbia Asia Hospital,168,South
,,,,,,"12.9564671999999,77.594624","Marathahalli extension, behind Kalamandir, 1st Cross hemanth Nagar",117,East
,,,,,,"12.9564671999999,77.594624",BEML Layout,117,East
,,,,,,"12.9198075999999,77.5901380999999","In front of Sobha Iris, Devarabisinahalli",168,South
,,,,,,"12.9564671999999,77.594624",19th main 37th cross hsr layout sector 2,117,East
,,,,,,"12.9564671999999,77.594624",Cunningham Crescent Road,117,East
,,,,,,"12.9564671999999,77.594624",KR Gardens Murgesh Palya,117,East
,,,,,,"12.9198075999999,77.5901380999999","Vidya Vikas school road, Kaverappa layout",168,South
,,,,,,"12.9564671999999,77.594624",Pottery Road,117,East
,,,,,,"12.9564671999999,77.594624",MM Road,117,East
,,,,,,"12.9564671999999,77.594624","Ward 6 Thanisandara Serenity layout, Shiridi Sai Nagar.",117,East
,,,,,,"12.9198075999999,77.5901380999999","""KPCL Layout, Kasavanahalli, Bangalore - 560035 (Bellandur Ward No: 150) """,168,South
,,,,,,"12.9564671999999,77.594624",serenity layout k narayanpura Cross,117,East
,,,,,,"12.9198075999999,77.5901380999999","""KPCL Layout, Kasavanahalli, Bangalore - 560035 (Bellandur Ward No: 150) """,168,South
,,,,,,"12.9198075999999,77.5901380999999","Near 80 Feet Rd, HAL 3rd Stage, Kodihalli, Bengaluru, Karnataka 560008",168,South
,,,,,,"12.9198075999999,77.5901380999999","10th Main and 10 thA main roads, Indiranagar",168,South
,,,,,,"12.9564671999999,77.594624",County Road,117,East
,,,,,,"12.9564671999999,77.594624",HAL 2nd stage,117,East
,,,,,,"12.9564671999999,77.594624",Haines Road,117,East
,,,,,,"12.9198075999999,77.5901380999999","next to Arekere MICO Layout Bus Stand, Junction of 5th Main & 6th Cross",168,South
,,,,,,"12.9545298,77.590514",Magadi NICE ROAD Junction to KADABGERE CROSS,145,South
,,,,,,"12.9564671999999,77.594624",Sri Ramula Sanidhi Street,117,East
,,,,,,"12.9564671999999,77.594624",silver county road,117,East
,,,,,,"12.9564671999999,77.594624","Coconut Grove Layout, Horamavu (Varshitha Heights Apartments)",117,East
,,,,,,"12.9564671999999,77.594624",Nadidurga road,117,East
,,,,,,"12.9564671999999,77.594624",Sri Ramula Sannidhi Street,117,East
